"Leeftijd";"Marges";"Perioden";"Wijken en buurten";"Ervaren gezondheid (goed/zeer goed) (%)";"Bewegen/Voldoet aan beweegrichtlijn (%)";"Bewegen/Wekelijkse sporters (%)";"Onder- en overgewicht/Mate van overgewicht/Ernstig overgewicht (%)";"Roker (%)";"Alcoholgebruik/Voldoet aan alcohol richtlijn (%)";"Hoog risico op angst of depressie (%)";"(Heel) veel stress in afgelopen 4 weken (%)";"Eenzaamheid/Ernstig/zeer ernstig eenzaam (%)";"Eenzaamheid/Sociaal Eenzaam (%)";"Vrijwilligerswerk (%)";"Moeite met rondkomen (%)"
"18 jaar of ouder";"Waarde";"2012";"Goes-Centrum";73,6;;;15,1;28,6;;6,9;;13,3;;;25,1
"18 jaar of ouder";"Waarde";"2012";"Goes-Oost";71,7;;;15,8;21,5;;5,3;;10,2;;;19,4
"18 jaar of ouder";"Waarde";"2012";"Goes-Zuid";68,7;;;17,2;23,9;;6,1;;11,7;;;22,1
"18 jaar of ouder";"Waarde";"2012";"Goes-West";74,5;;;15,7;26;;6;;11,1;;;24
"18 jaar of ouder";"Waarde";"2012";"Goes-Noordwest";73,3;;;16,9;26,5;;6,5;;11,4;;;29,1
"18 jaar of ouder";"Waarde";"2012";"Goes-Noordoost";82,3;;;12,2;18;;3;;5,9;;;11,1
"18 jaar of ouder";"Waarde";"2012";"Industrieterrein De Poel";83,3;;;12,1;20,2;;3,1;;7,1;;;11,4
"18 jaar of ouder";"Waarde";"2012";"Industrieterrein Haven";84,9;;;10,4;28;;5,9;;6,2;;;31,5
"18 jaar of ouder";"Waarde";"2012";"Goese Meer";82,1;;;11;14,1;;2,3;;5,1;;;6,2
"18 jaar of ouder";"Waarde";"2012";"Overzuid";83,2;;;12,2;17,5;;2,6;;5,4;;;10
"18 jaar of ouder";"Waarde";"2012";"Mannee";87,7;;;9,7;14,7;;3,5;;3,7;;;9,8
"18 jaar of ouder";"Waarde";"2012";"Wilhelminadorp";78;;;13,9;20,4;;4;;6,7;;;15,9
"18 jaar of ouder";"Waarde";"2012";"Verspreide huizen Wilhelminadorp";77,3;;;13,5;18,7;;4;;6,4;;;16,5
"18 jaar of ouder";"Waarde";"2012";"Kloetinge";76,4;;;14,4;19,8;;4,4;;8;;;15,7
"18 jaar of ouder";"Waarde";"2012";"Oostmolenpark";83,7;;;12,4;18,6;;2,8;;5,9;;;12,5
"18 jaar of ouder";"Waarde";"2012";"Verspreide huizen in het Oosten";81,9;;;12,6;17,7;;3,9;;6,7;;;12,2
"18 jaar of ouder";"Waarde";"2012";"Verspreide huizen in het Zuiden";83,3;;;11,8;18,8;;3,4;;6,8;;;9,9
"18 jaar of ouder";"Waarde";"2012";"Kattendijke";78,9;;;16,7;20,5;;4,9;;7,7;;;21,6
"18 jaar of ouder";"Waarde";"2012";"Verspreide huizen Kattendijke";81,9;;;13,7;17,8;;3;;6,1;;;12,6
"18 jaar of ouder";"Waarde";"2012";"'s-Heer-Arendskerke";78,3;;;13,3;21,6;;4,2;;7,5;;;18,2
"18 jaar of ouder";"Waarde";"2012";"De Schenge";79,9;;;13,8;23,4;;3,3;;6,7;;;17,3
"18 jaar of ouder";"Waarde";"2012";"Verspreide huizen in het Westen";78;;;14,7;20,3;;3;;5,7;;;17,4
"18 jaar of ouder";"Waarde";"2012";"Eindewege";78,7;;;13;22,7;;3,6;;6,8;;;15,8
"18 jaar of ouder";"Waarde";"2012";"'s-Heer-Hendrikskinderen";80,9;;;13,9;18,8;;3,2;;6,5;;;14,5
"18 jaar of ouder";"Waarde";"2012";"Verspr.h. ten N. v. 's-Heer-Hendrikskind";77,5;;;16,1;28,8;;5,1;;9,1;;;23,4
"18 jaar of ouder";"Waarde";"2012";"Verspr.h. ten Z. v. 's-Heer-Hendrikskind";83,7;;;11,3;19,4;;3,3;;5,7;;;15,8
"18 jaar of ouder";"Waarde";"2012";"Wolphaartsdijk";76,3;;;12,8;21,6;;4,2;;8;;;19,9
"18 jaar of ouder";"Waarde";"2012";"Verspreide huizen Wolphaartsdijk";79,8;;;11,1;18,5;;2,8;;6,2;;;11,9
"18 jaar of ouder";"Waarde";"2012";"Oud-Sabbinge";77,9;;;11,9;20,8;;3,5;;7,1;;;16,7
